,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,482,1
Blieskastel,607,0
Gersheim,118,1
Homburg,1626,6
Kirkel,325,0
Mandelbachtal,327,0
St. Ingbert,1594,4
