,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,611,3
Blieskastel,669,3
Gersheim,123,0
Homburg,2037,6
Kirkel,374,3
Mandelbachtal,337,1
St. Ingbert,1766,2
