,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,456,0
Blieskastel,584,0
Gersheim,108,0
Homburg,1510,0
Kirkel,316,0
Mandelbachtal,301,0
St. Ingbert,1483,0
