,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,555,1
Blieskastel,651,0
Gersheim,121,0
Homburg,1905,1
Kirkel,361,0
Mandelbachtal,335,0
St. Ingbert,1709,7
