,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,481,0
Blieskastel,607,0
Gersheim,116,0
Homburg,1610,7
Kirkel,325,0
Mandelbachtal,327,0
St. Ingbert,1587,0
