,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,415,3
Blieskastel,507,5
Gersheim,93,0
Homburg,1345,10
Kirkel,279,2
Mandelbachtal,282,2
St. Ingbert,1323,12
