,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,479,1
Blieskastel,605,2
Gersheim,116,1
Homburg,1599,3
Kirkel,324,0
Mandelbachtal,327,0
St. Ingbert,1586,2
