,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,535,0
Blieskastel,646,0
Gersheim,119,0
Homburg,1825,23
Kirkel,357,0
Mandelbachtal,332,0
St. Ingbert,1675,2
