,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,608,3
Blieskastel,666,2
Gersheim,123,0
Homburg,2031,1
Kirkel,371,0
Mandelbachtal,336,0
St. Ingbert,1764,1
