,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,492,4
Blieskastel,618,1
Gersheim,119,0
Homburg,1691,12
Kirkel,334,2
Mandelbachtal,330,1
St. Ingbert,1617,6
