,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,630,5
Blieskastel,690,6
Gersheim,126,1
Homburg,2124,12
Kirkel,393,6
Mandelbachtal,348,1
St. Ingbert,1815,4
