,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,542,7
Blieskastel,646,0
Gersheim,119,0
Homburg,1832,7
Kirkel,357,0
Mandelbachtal,333,1
St. Ingbert,1678,3
