,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,504,1
Blieskastel,620,0
Gersheim,119,0
Homburg,1709,11
Kirkel,337,2
Mandelbachtal,330,0
St. Ingbert,1621,1
