,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,517,4
Blieskastel,630,1
Gersheim,119,0
Homburg,1757,8
Kirkel,349,0
Mandelbachtal,337,1
St. Ingbert,1642,6
