,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,440,2
Blieskastel,575,1
Gersheim,100,1
Homburg,1471,8
Kirkel,306,1
Mandelbachtal,296,1
St. Ingbert,1458,9
