,last7,last14,mix,Gemeinde
Bexbach,54,79,54.0,Bexbach
Blieskastel,56,95,56.0,Blieskastel
Gersheim,11,18,11.0,Gersheim
Homburg,89,147,89.0,Homburg
Kirkel,33,46,33.0,Kirkel
Mandelbachtal,25,37,25.0,Mandelbachtal
St. Ingbert,85,140,85.0,St. Ingbert
