,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,467,0
Blieskastel,590,0
Gersheim,111,0
Homburg,1543,2
Kirkel,318,0
Mandelbachtal,309,4
St. Ingbert,1510,1
