,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,420,3
Blieskastel,517,3
Gersheim,94,1
Homburg,1357,9
Kirkel,284,5
Mandelbachtal,283,0
St. Ingbert,1343,10
