,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,553,1
Blieskastel,650,0
Gersheim,120,0
Homburg,1888,6
Kirkel,360,0
Mandelbachtal,335,0
St. Ingbert,1699,2
