,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,546,1
Blieskastel,647,0
Gersheim,119,0
Homburg,1853,2
Kirkel,358,0
Mandelbachtal,334,0
St. Ingbert,1685,1
