,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,464,0
Blieskastel,589,0
Gersheim,111,0
Homburg,1540,1
Kirkel,318,0
Mandelbachtal,304,0
St. Ingbert,1507,0
