,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,472,1
Blieskastel,593,2
Gersheim,111,0
Homburg,1559,1
Kirkel,320,0
Mandelbachtal,326,0
St. Ingbert,1550,1
