,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,750,8,8
Blieskastel,839,16,16
Gersheim,151,3,3
Homburg,2426,51,51
Kirkel,460,8,8
Mandelbachtal,414,12,12
St. Ingbert,2071,34,34
