,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,481,0
Blieskastel,607,0
Gersheim,117,1
Homburg,1620,10
Kirkel,325,0
Mandelbachtal,327,0
St. Ingbert,1590,3
