,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,624,0
Blieskastel,681,2
Gersheim,125,1
Homburg,2106,14
Kirkel,385,1
Mandelbachtal,346,3
St. Ingbert,1808,13
