,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,468,1
Blieskastel,591,1
Gersheim,111,0
Homburg,1546,0
Kirkel,318,0
Mandelbachtal,325,0
St. Ingbert,1546,1
