,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,473,0,0
Blieskastel,594,0,0
Gersheim,114,0,0
Homburg,1565,0,0
Kirkel,321,0,0
Mandelbachtal,326,0,0
St. Ingbert,1553,1,1
