,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,432,1
Blieskastel,564,1
Gersheim,96,1
Homburg,1425,11
Kirkel,299,0
Mandelbachtal,291,2
St. Ingbert,1407,8
