,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,548,2
Blieskastel,648,1
Gersheim,119,0
Homburg,1864,11
Kirkel,360,2
Mandelbachtal,334,0
St. Ingbert,1690,5
