,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,551,3
Blieskastel,649,1
Gersheim,120,1
Homburg,1871,7
Kirkel,360,0
Mandelbachtal,334,0
St. Ingbert,1694,4
