,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,602,0
Blieskastel,662,0
Gersheim,122,0
Homburg,2025,0
Kirkel,371,0
Mandelbachtal,336,0
St. Ingbert,1760,0
