,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,479,0
Blieskastel,605,0
Gersheim,116,0
Homburg,1599,0
Kirkel,324,0
Mandelbachtal,327,0
St. Ingbert,1586,0
