,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,456,1
Blieskastel,584,0
Gersheim,108,0
Homburg,1508,6
Kirkel,315,0
Mandelbachtal,300,0
St. Ingbert,1481,6
