,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,654,0
Blieskastel,729,0
Gersheim,133,0
Homburg,2178,0
Kirkel,402,0
Mandelbachtal,360,0
St. Ingbert,1872,0
