,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,622,1
Blieskastel,678,0
Gersheim,124,0
Homburg,2086,13
Kirkel,381,1
Mandelbachtal,341,0
St. Ingbert,1789,2
