,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,583,4,4
Blieskastel,656,1,1
Gersheim,122,0,0
Homburg,1971,6,6
Kirkel,366,3,3
Mandelbachtal,335,0,0
St. Ingbert,1750,3,3
