,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,544,0
Blieskastel,646,0
Gersheim,119,0
Homburg,1845,0
Kirkel,358,0
Mandelbachtal,333,0
St. Ingbert,1680,0
