,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,624,1
Blieskastel,679,0
Gersheim,124,0
Homburg,2092,4
Kirkel,384,2
Mandelbachtal,343,0
St. Ingbert,1795,0
