,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,601,6
Blieskastel,659,1
Gersheim,122,0
Homburg,2017,7
Kirkel,370,1
Mandelbachtal,335,0
St. Ingbert,1758,2
