,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,423,1
Blieskastel,538,12
Gersheim,94,0
Homburg,1387,16
Kirkel,294,0
Mandelbachtal,285,1
St. Ingbert,1369,14
