,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,417,2
Blieskastel,514,7
Gersheim,93,0
Homburg,1348,3
Kirkel,279,0
Mandelbachtal,283,1
St. Ingbert,1333,10
