,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,557,2,2
Blieskastel,651,0,0
Gersheim,121,0,0
Homburg,1916,5,5
Kirkel,361,0,0
Mandelbachtal,335,0,0
St. Ingbert,1722,1,1
