,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,474,0,0
Blieskastel,599,1,1
Gersheim,114,0,0
Homburg,1581,5,5
Kirkel,321,0,0
Mandelbachtal,327,1,1
St. Ingbert,1569,3,3
