,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,477,0
Blieskastel,603,0
Gersheim,115,1
Homburg,1594,2
Kirkel,324,1
Mandelbachtal,327,0
St. Ingbert,1582,1
