,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,508,0
Blieskastel,622,0
Gersheim,119,0
Homburg,1731,7
Kirkel,348,1
Mandelbachtal,330,0
St. Ingbert,1634,1
