,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,544,2
Blieskastel,646,0
Gersheim,119,0
Homburg,1845,13
Kirkel,358,1
Mandelbachtal,333,0
St. Ingbert,1680,2
