,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,518,1
Blieskastel,637,7
Gersheim,119,0
Homburg,1764,7
Kirkel,349,0
Mandelbachtal,337,0
St. Ingbert,1646,4
