,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,619,2
Blieskastel,677,1
Gersheim,124,0
Homburg,2068,3
Kirkel,379,2
Mandelbachtal,340,0
St. Ingbert,1782,2
