,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,473,0
Blieskastel,594,1
Gersheim,112,0
Homburg,1562,1
Kirkel,321,1
Mandelbachtal,326,0
St. Ingbert,1551,0
