,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,683,13
Blieskastel,770,16
Gersheim,141,3
Homburg,2241,20
Kirkel,418,6
Mandelbachtal,376,6
St. Ingbert,1927,17
