,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,732,4,4
Blieskastel,806,5,5
Gersheim,145,0,0
Homburg,2342,21,21
Kirkel,442,3,3
Mandelbachtal,389,0,0
St. Ingbert,1999,5,5
