,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,698,15
Blieskastel,779,9
Gersheim,143,2
Homburg,2260,19
Kirkel,428,10
Mandelbachtal,380,4
St. Ingbert,1946,19
