,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,654,4
Blieskastel,729,8
Gersheim,133,1
Homburg,2178,5
Kirkel,402,3
Mandelbachtal,360,2
St. Ingbert,1872,8
