,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,463,1
Blieskastel,588,0
Gersheim,111,0
Homburg,1533,1
Kirkel,318,0
Mandelbachtal,303,0
St. Ingbert,1504,0
