,Bisherige Infektionen Gesamt,Veränderung zum Freitag,Veränderung zum Vortag
Bexbach,573,6,6
Blieskastel,653,0,0
Gersheim,122,0,0
Homburg,1959,2,2
Kirkel,362,1,1
Mandelbachtal,335,0,0
St. Ingbert,1746,2,2
