,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,554,0
Blieskastel,651,0
Gersheim,121,1
Homburg,1904,8
Kirkel,361,0
Mandelbachtal,335,0
St. Ingbert,1702,2
