,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,630,0
Blieskastel,690,0
Gersheim,126,0
Homburg,2124,0
Kirkel,393,0
Mandelbachtal,348,0
St. Ingbert,1815,0
