,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,698,0
Blieskastel,779,0
Gersheim,143,0
Homburg,2260,0
Kirkel,428,0
Mandelbachtal,380,0
St. Ingbert,1946,0
