,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,430,6
Blieskastel,553,3
Gersheim,94,0
Homburg,1399,9
Kirkel,297,2
Mandelbachtal,287,1
St. Ingbert,1385,12
