,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,471,0
Blieskastel,591,0
Gersheim,111,0
Homburg,1555,0
Kirkel,319,1
Mandelbachtal,326,0
St. Ingbert,1549,0
