,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,422,1
Blieskastel,526,4
Gersheim,94,0
Homburg,1371,5
Kirkel,294,5
Mandelbachtal,284,1
St. Ingbert,1355,9
