,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,456,0
Blieskastel,584,0
Gersheim,108,0
Homburg,1510,2
Kirkel,316,1
Mandelbachtal,301,1
St. Ingbert,1483,2
