,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,616,0
Blieskastel,671,0
Gersheim,123,0
Homburg,2051,0
Kirkel,376,0
Mandelbachtal,338,0
St. Ingbert,1771**,0
