,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,504,0
Blieskastel,620,0
Gersheim,119,0
Homburg,1709,0
Kirkel,337,0
Mandelbachtal,330,0
St. Ingbert,1621,0
